iter	RMSE
0	0.3993831438
1	0.3968700222
2	0.3946590151
3	0.3919707977
4	0.3895724778
5	0.3872673821
6	0.3846095547
7	0.3822607016
8	0.3798307932
9	0.3777670453
10	0.3754014987
11	0.3728769917
12	0.3704284979
13	0.3682560013
14	0.3659035139
15	0.3637240897
16	0.3614318441
17	0.3589930795
18	0.3566489143
19	0.354485596
20	0.3523170138
21	0.350068611
22	0.3480066986
23	0.3458602718
24	0.3438229679
25	0.3419332071
26	0.3398732918
27	0.3378992745
28	0.3358656039
29	0.3338304972
30	0.3319138651
31	0.3301544203
32	0.3282715844
33	0.3264888274
34	0.3246370638
35	0.3226537524
36	0.3208162979
37	0.3190356538
38	0.3171069443
39	0.3152566014
40	0.3134423126
41	0.311660165
42	0.309811645
43	0.3079409518
44	0.3062941
45	0.3044865921
46	0.3027024767
47	0.3010669569
48	0.2994079794
49	0.2978490522
50	0.2961030117
51	0.2943745248
52	0.2927337081
53	0.2911839346
54	0.2896622362
55	0.2879884536
56	0.2865705049
57	0.2850943881
58	0.2834862875
59	0.281960772
60	0.2803930094
61	0.2789080678
62	0.2775960205
63	0.276116831
64	0.2746230697
65	0.273214296
66	0.2718335505
67	0.2704195479
68	0.2689803823
69	0.2676712431
70	0.2661821237
71	0.2646782668
72	0.2632307802
73	0.2620124554
74	0.2607314718
75	0.2593514493
76	0.2580357489
77	0.2568091067
78	0.2555990242
79	0.2543288382
80	0.253140342
81	0.2520980849
82	0.2509868986
83	0.2497806384
84	0.2486941486
85	0.2475085178
86	0.2463982432
87	0.2452123865
88	0.2441482462
89	0.2430687263
90	0.2419136912
91	0.2407273606
92	0.2396166716
93	0.2386110116
94	0.2374554112
95	0.2363265347
96	0.2353095877
97	0.234268218
98	0.2333143159
99	0.2322935583
100	0.231313593
101	0.2303135981
102	0.2291947541
103	0.2282104254
104	0.2273251303
105	0.2264218879
106	0.2255188329
107	0.22451999
108	0.2235924083
109	0.222734965
110	0.2217752094
111	0.2207996704
112	0.2200122608
113	0.2190978389
114	0.2182554484
115	0.2174432015
116	0.2166102509
117	0.2158235387
118	0.2150460275
119	0.2142359288
120	0.2134440642
121	0.2127044267
122	0.2118785634
123	0.2110863511
124	0.2102745929
125	0.2094348084
126	0.2087432334
127	0.2080998698
128	0.207347277
129	0.206526013
130	0.2057138494
131	0.2049242706
132	0.2040989179
133	0.2033393418
134	0.2026203859
135	0.2019132071
136	0.2012086697
137	0.2005010153
138	0.1997571937
139	0.1990631282
140	0.1984064427
141	0.1977147496
142	0.1970698432
143	0.1963287807
144	0.1956382327
145	0.1949635895
146	0.1942604042
147	0.1935935798
148	0.1930024105
149	0.1924501178
150	0.1917600169
151	0.1910583782
152	0.1905018863
153	0.1898385711
154	0.1891696847
155	0.1885745781
156	0.1879331008
157	0.1873663418
158	0.1867809184
159	0.1862007864
160	0.1855903197
161	0.1850648989
162	0.184519389
163	0.1839618173
164	0.1833072211
165	0.1827757137
166	0.1822521366
167	0.181713898
168	0.1811780278
169	0.1805865293
170	0.1800323752
171	0.179539015
172	0.1789980139
173	0.1784690181
174	0.1779061952
175	0.1774126175
176	0.17691654
177	0.1763981402
178	0.1758853789
179	0.1753564102
180	0.1749775624
181	0.1744792686
182	0.1740609513
183	0.173644687
184	0.1731916732
185	0.1726762284
186	0.1721888179
187	0.1717183947
188	0.1712852611
189	0.1708407941
190	0.1704008508
191	0.1699456721
192	0.1695593108
193	0.1690793628
194	0.1686452118
195	0.1681862537
196	0.1677761573
197	0.1673714342
198	0.1670264294
199	0.1665871134
200	0.1661697753
201	0.165751322
202	0.1653660808
203	0.1649530962
204	0.1645485166
205	0.1642111546
206	0.1638535098
207	0.1634389011
208	0.1630398533
209	0.162693247
210	0.1623440512
211	0.1619714877
212	0.1615668958
213	0.1612010773
214	0.1608545156
215	0.1604982898
216	0.1601310566
217	0.1598132746
218	0.1594911249
219	0.1591912427
220	0.158865254
221	0.1585635628
222	0.1581957662
223	0.157849639
224	0.1575314403
225	0.1572165128
226	0.1568696655
227	0.1565007592
228	0.1561396653
229	0.1557998872
230	0.1554766358
231	0.1551272765
232	0.1547838109
233	0.1544502356
234	0.1541566837
235	0.1538758059
236	0.153542947
237	0.1532479464
238	0.1529501174
239	0.1526615668
240	0.1524114608
241	0.1521506804
242	0.1519059246
243	0.1516667906
244	0.1513988222
245	0.1511479612
246	0.1508518455
247	0.1505751382
248	0.1503402302
249	0.1500904727
250	0.1497896559
251	0.1495599599
252	0.1492574277
253	0.1489580021
254	0.148701251
255	0.1484883824
256	0.1482487745
257	0.1480085312
258	0.1477442038
259	0.1474619523
260	0.1471998168
261	0.1469248503
262	0.1467256721
263	0.1465128483
264	0.1462804411
265	0.1460272646
266	0.1458229826
267	0.1455478274
268	0.1452968391
269	0.1450532445
270	0.1448076263
271	0.144551702
272	0.1443121034
273	0.1440747337
274	0.1438560138
275	0.1436269461
276	0.1433717795
277	0.1431049332
278	0.1428834645
279	0.1426704093
280	0.1424648102
281	0.1422890592
282	0.142049936
283	0.1418342034
