iter	Passed	Remaining
0	1	3745
1	3	3305
2	4	3141
3	6	3047
4	7	3026
5	8	2949
6	10	2871
7	11	2844
8	13	2880
9	14	2870
10	15	2860
11	17	2844
12	18	2838
13	19	2826
14	21	2817
15	22	2806
16	24	2805
17	25	2802
18	26	2800
19	28	2792
20	29	2784
21	30	2780
22	32	2776
23	33	2765
24	34	2759
25	36	2749
26	37	2740
27	38	2730
28	40	2724
29	41	2718
30	42	2719
31	44	2718
32	45	2723
33	47	2722
34	48	2719
35	49	2717
36	51	2719
37	52	2719
38	54	2715
39	55	2711
40	56	2710
41	58	2723
42	59	2725
43	61	2726
44	62	2721
45	63	2715
46	65	2714
47	66	2716
48	68	2716
49	69	2713
50	70	2709
51	72	2709
52	73	2710
53	75	2709
54	76	2706
55	77	2705
56	79	2703
57	80	2703
58	82	2704
59	83	2701
60	84	2700
61	86	2699
62	87	2702
63	89	2704
64	90	2703
65	92	2702
66	93	2702
67	95	2703
68	96	2703
69	98	2707
70	99	2709
71	101	2709
72	102	2713
73	104	2712
74	105	2710
75	107	2711
76	108	2709
77	109	2707
78	111	2706
79	112	2704
80	114	2700
81	115	2699
82	116	2699
83	118	2700
84	119	2698
85	121	2696
86	122	2696
87	124	2695
88	125	2693
89	126	2693
90	128	2691
91	129	2691
92	131	2690
93	132	2690
94	134	2689
95	135	2688
96	136	2687
97	138	2684
98	139	2682
99	141	2680
100	142	2680
101	144	2680
102	145	2679
103	146	2676
104	148	2680
105	150	2680
106	151	2683
107	153	2687
108	154	2686
109	156	2684
110	157	2683
111	159	2683
112	160	2683
113	162	2682
114	163	2682
115	165	2682
116	166	2684
117	168	2684
118	169	2686
119	171	2685
120	172	2686
121	174	2686
122	176	2687
123	177	2688
124	179	2689
125	180	2691
126	182	2691
127	183	2689
128	185	2689
129	186	2688
130	188	2687
131	189	2687
132	191	2688
133	192	2686
134	194	2687
135	196	2688
136	197	2687
137	199	2687
138	200	2686
139	202	2685
140	203	2685
141	205	2688
142	206	2687
143	208	2687
144	210	2689
145	211	2690
146	213	2691
147	215	2690
148	216	2689
149	217	2687
150	219	2686
151	220	2686
152	222	2685
153	223	2683
154	225	2683
155	226	2681
156	228	2679
157	229	2677
158	231	2675
159	232	2672
160	233	2670
161	235	2671
162	237	2671
163	238	2669
164	239	2667
165	241	2665
166	242	2663
167	244	2661
168	245	2658
169	246	2656
170	248	2653
171	249	2654
172	251	2652
173	252	2650
174	253	2648
175	255	2645
176	256	2645
177	258	2642
178	259	2640
179	260	2638
180	262	2635
181	263	2633
182	265	2632
183	266	2630
184	267	2628
185	269	2625
186	270	2623
187	271	2620
188	273	2619
189	274	2618
190	276	2616
191	277	2613
192	278	2611
193	280	2610
194	281	2608
195	283	2606
196	284	2604
197	285	2601
198	287	2599
199	288	2597
200	289	2594
201	291	2591
202	292	2589
203	293	2586
204	295	2585
205	296	2584
206	298	2581
207	299	2580
208	300	2577
209	302	2575
210	303	2573
211	304	2572
212	306	2569
213	307	2568
214	309	2566
215	310	2567
216	312	2567
217	313	2566
